,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Iracoubo,GF,83.71,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
540,Formiga,BR,84.83,clear sky,-20.4644,-45.4264,Victor Plaza Hotel
547,Vila Do Maio,CV,84.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
555,Arlit,NE,83.61,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
561,Sur,OM,78.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
563,Quarai,BR,86.0,broken clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
567,Grand Baie,MU,76.44,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
568,Escarcega,MX,82.24,light rain,18.6089,-90.7454,Hotel Maria Isabel
569,Tanout,NE,84.67,broken clouds,14.9709,8.8879,
570,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
573,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
574,Loandjili,CG,78.87,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
576,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
580,Chabahar,IR,80.17,clear sky,25.2919,60.643,هتل گدروشیا
581,Kisangani,CD,84.56,moderate rain,0.5167,25.2,Grand Ramela Hotel
593,Birao,CF,80.89,few clouds,10.2849,22.7882,
601,Angoche,MZ,79.2,clear sky,-16.2325,39.9086,Guest House HESADA
605,Umm Lajj,SA,77.61,scattered clouds,25.0213,37.2685,Moon light Furnished Units
609,Juan Lacaze,UY,78.87,few clouds,-34.4342,-57.4381,El templo de Papal
612,Sao Desiderio,BR,82.72,broken clouds,-12.3633,-44.9733,POUSADA BOM SOSSEGO
614,Necochea,AR,81.72,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
617,Giyani,ZA,75.85,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
619,Rio Grande,BR,78.91,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
622,Rocha,UY,77.54,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
623,Santa Marta,CO,87.85,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
627,Gweta,BW,85.17,overcast clouds,-20.1833,25.2333,Gweta Lodge
631,Tabora,TZ,76.78,broken clouds,-5.0167,32.8,Barcelona Lodge
633,General Pico,AR,85.55,broken clouds,-35.6566,-63.7568,Euskadi Hotel
634,Bandrele,YT,78.55,broken clouds,-12.9067,45.1914,Les Baobabs
635,Hajipur,IN,75.18,mist,25.6833,85.2167,Sunderwati Niketan
637,Acarau,BR,88.02,few clouds,-2.8856,-40.12,castelo pizzaria
640,Am Timan,TD,84.27,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
641,Tucuman,AR,89.6,few clouds,-26.8241,-65.2226,Hotel Premier
642,Mayumba,GA,78.1,light rain,-3.432,10.6554,LIKWALE LODGE
643,Havelock,US,75.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
646,Ugoofaaru,MV,81.72,overcast clouds,5.6667,73.0,Ungoofaaru Inn
657,Jilib,SO,78.91,overcast clouds,0.4883,42.7854,Waadi Hotel
658,Nizwa,OM,78.39,scattered clouds,22.9333,57.5333,Orient Apartments
660,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
661,Ikot Ekpene,NG,79.48,light rain,5.1794,7.7108,Four Points by Sheraton Ikot Ekpene
664,Sao Paulo De Olivenca,BR,86.34,overcast clouds,-3.3783,-68.8725,
667,Saint-Paul,RE,75.31,overcast clouds,-21.0096,55.2707,Boucan Canot
671,Turbat,PK,82.47,clear sky,26.0023,63.044,Mubashar Quarters
673,Hobyo,SO,80.92,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
682,Jojoima,SL,87.64,few clouds,7.8792,-10.7878,
683,Ovalle,CL,75.42,overcast clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
686,Mwaya,TZ,80.71,light rain,-9.55,33.95,
695,Tutoia,BR,85.35,broken clouds,-2.7619,-42.2744,Pousada Guará's
696,San Luis,AR,83.08,few clouds,-33.295,-66.3356,Huarpes Hotel
703,Beyla,GN,82.9,scattered clouds,8.6833,-8.6333,DIAN SINKO
704,Kulhudhuffushi,MV,81.14,overcast clouds,6.6221,73.07,Haajy Guest House 1
705,Minab,IR,75.52,scattered clouds,27.1467,57.0801,Bam campground
710,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
