City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint-Philippe,RE,-21.3585,55.7679,74.79,72,96,6.55,overcast clouds
80,Gravina In Puglia,IT,40.8197,16.4228,58.55,88,92,5.01,overcast clouds
81,Caravelas,BR,-17.7125,-39.2481,84.99,60,74,10.92,broken clouds
82,Lokosovo,RU,61.1333,74.8167,26.65,96,99,2.91,overcast clouds
83,Akim Swedru,GH,5.8938,-1.0164,80.94,74,61,3.74,light rain
84,Saint-Louis,SN,16.3333,-15.0,101.84,10,48,8.99,scattered clouds
85,Antofagasta,CL,-23.65,-70.4,65.48,62,3,7.87,clear sky
86,Maceio,BR,-9.6658,-35.7353,87.24,62,40,12.66,scattered clouds
87,Naantali,FI,60.4674,22.0243,49.1,81,100,10.36,overcast clouds
88,Talara,PE,-4.5772,-81.2719,75.96,57,0,20.71,clear sky
89,Sabha,LY,27.0377,14.4283,68.4,38,0,8.59,clear sky
90,Mangan,IN,27.5167,88.5333,60.66,71,52,4.32,broken clouds
91,Galway,IE,53.2719,-9.0489,59.94,74,70,27.49,broken clouds
92,Komatipoort,ZA,-25.4332,31.9548,78.04,70,92,11.25,overcast clouds
93,Bahia Blanca,AR,-38.7196,-62.2724,77.97,40,83,14.72,broken clouds
94,Nouadhibou,MR,20.931,-17.0347,75.18,69,82,10.36,broken clouds
95,Bonavista,CA,48.6499,-53.1147,40.55,84,100,22.86,light rain
96,Lofthus,NO,59.9468,10.8018,51.82,51,100,10.92,moderate rain
97,Punta Arenas,CL,-53.15,-70.9167,53.71,40,0,17.27,clear sky
98,Vallenar,CL,-28.5708,-70.7581,80.31,19,64,11.79,broken clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,69,20,11.5,few clouds
100,Bhadrachalam,IN,17.6667,80.8833,71.56,82,80,0.27,broken clouds
101,Castelnau-Le-Lez,FR,43.6333,3.9,63.91,59,0,11.5,clear sky
102,Laukaa,RU,58.7372,29.8453,47.48,93,100,4.99,overcast clouds
103,Hofn,IS,64.2539,-15.2082,42.82,81,75,18.41,broken clouds
104,Fonte Boa,BR,-2.4959,-66.2662,91.49,46,53,4.41,broken clouds
105,Tricase,IT,39.9304,18.3553,64.33,88,0,0.0,clear sky
106,Zhezkazgan,KZ,47.8043,67.7144,28.78,78,27,4.92,scattered clouds
107,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,87,75,4.61,broken clouds
108,Mersin,TR,36.862,34.6509,65.21,55,9,3.51,clear sky
109,Victoria,HK,22.2855,114.1577,77.38,85,0,5.01,clear sky
110,Vila Velha,BR,-20.3297,-40.2925,87.75,51,40,12.66,scattered clouds
111,San Andres,CO,12.5847,-81.7006,77.02,94,100,6.91,drizzle
112,Itupiranga,BR,-5.1347,-49.3267,95.32,39,40,2.91,scattered clouds
113,Hetauda,NP,27.4284,85.0322,69.15,85,0,4.59,clear sky
114,Nantucket,US,41.2835,-70.0995,64.54,76,0,20.71,clear sky
115,Faya,SA,18.3851,42.4509,64.51,68,10,3.31,clear sky
116,Lagoa,PT,39.05,-27.9833,60.08,72,100,25.43,overcast clouds
117,Ambilobe,MG,-13.2,49.05,76.35,72,58,5.53,broken clouds
118,Dudinka,RU,69.4058,86.1778,6.62,94,100,18.14,light snow
119,Talnakh,RU,69.4865,88.3972,6.21,96,100,10.45,snow
120,Nisporeni,MD,47.0814,28.1783,50.4,67,9,5.32,clear sky
121,Iranshahr,IR,27.2025,60.6848,77.34,33,0,4.61,clear sky
122,San Juan,AR,-31.5375,-68.5364,79.41,34,49,11.23,scattered clouds
123,Bondo,CD,3.8146,23.6866,77.56,74,98,0.56,overcast clouds
124,Reinosa,ES,42.9996,-4.138,49.73,71,0,2.01,clear sky
125,Morant Bay,JM,17.8815,-76.4093,87.42,63,2,5.21,clear sky
126,Richards Bay,ZA,-28.783,32.0377,68.4,86,100,6.96,light rain
127,Kribi,CM,2.95,9.9167,78.26,84,69,9.71,moderate rain
128,Awjilah,LY,29.1081,21.2869,67.73,41,0,8.75,clear sky
129,Ilulissat,GL,69.2167,-51.1,14.02,67,100,4.61,overcast clouds
130,Maniitsoq,GL,65.4167,-52.9,20.66,53,100,6.44,overcast clouds
131,Orel,RU,52.9658,36.0803,41.79,86,82,12.39,broken clouds
132,Cidreira,BR,-30.1811,-50.2056,70.34,64,4,7.65,clear sky
133,Luba,GQ,3.4568,8.5547,79.43,82,87,7.4,light rain
134,Baherden,TM,38.4362,57.4316,50.16,47,9,7.0,clear sky
135,Fereydun Kenar,IR,36.6864,52.5225,57.42,77,40,0.0,scattered clouds
136,Margate,GB,51.3813,1.3862,58.89,80,100,7.0,overcast clouds
137,Mahebourg,MU,-20.4081,57.7,76.24,73,20,3.44,few clouds
138,Cayenne,GF,4.9333,-52.3333,87.84,66,40,10.36,scattered clouds
139,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,74,3,9.89,clear sky
140,Axim,GH,4.8699,-2.2405,81.91,74,79,9.75,broken clouds
141,Matara,LK,5.9485,80.5353,77.05,88,100,3.76,overcast clouds
142,Sorochinsk,RU,52.4338,53.1583,36.3,95,100,13.02,overcast clouds
143,Osa,RU,57.2829,55.4567,34.18,99,100,5.82,overcast clouds
144,Lima,PE,-12.0432,-77.0282,64.65,68,20,12.66,few clouds
145,Nouakchott,MR,18.0858,-15.9785,82.58,42,79,11.74,broken clouds
146,Carballo,ES,43.213,-8.691,65.89,80,32,3.2,scattered clouds
147,Arona,ES,28.0996,-16.681,72.12,73,20,23.02,few clouds
148,Kalmunai,LK,7.4167,81.8167,76.86,87,89,8.81,light rain
149,Paamiut,GL,61.994,-49.6678,22.23,68,100,7.85,overcast clouds
150,Saint Anthony,US,45.0205,-93.218,68.54,84,100,12.66,overcast clouds
151,Jacareacanga,BR,-6.2222,-57.7528,97.2,34,24,4.63,few clouds
152,Gidole,ET,5.65,37.3667,61.0,66,100,3.15,light rain
153,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,77,75,13.8,broken clouds
154,Neyshabur,IR,36.2133,58.7958,51.31,25,41,2.68,scattered clouds
155,Tirlyanskiy,RU,54.2109,58.5806,33.08,95,100,5.23,light snow
156,Kasongo-Lunda,CD,-6.4667,16.8167,70.32,98,99,3.02,light rain
157,Mizoch,UA,50.4,26.15,50.49,90,100,10.07,overcast clouds
158,Adiake,CI,5.2863,-3.304,81.5,75,77,9.84,broken clouds
159,Bozova,TR,37.3625,38.5267,56.32,69,30,6.78,scattered clouds
160,Prainha,BR,-1.8,-53.48,91.17,41,59,5.77,broken clouds
161,Svetlyy,RU,54.675,20.1347,51.85,89,74,17.0,broken clouds
162,Puri,IN,19.8,85.85,73.92,63,92,6.46,moderate rain
163,Kruisfontein,ZA,-34.0033,24.7314,60.89,71,100,16.44,overcast clouds
164,Bajil,YE,15.0584,43.2851,83.73,61,38,6.98,light rain
165,Derzhavinsk,KZ,51.1,66.3167,29.44,83,38,13.06,scattered clouds
166,Saint George,US,37.1041,-113.5841,45.43,72,0,1.01,clear sky
167,Yelan,RU,50.949,43.7378,39.78,90,97,6.91,overcast clouds
168,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.53,56,81,0.98,broken clouds
169,Savannah Bight,HN,16.45,-85.85,80.96,71,1,17.11,clear sky
170,Susangerd,IR,31.5608,48.1831,79.79,24,89,8.75,overcast clouds
171,Tambura,SS,5.6,27.4667,73.35,84,91,4.74,overcast clouds
172,Camocim,BR,-2.9022,-40.8411,90.09,52,23,15.01,few clouds
173,Araouane,ML,18.9048,-3.5265,85.1,8,0,6.06,clear sky
174,Budelsdorf,DE,54.3167,9.6833,55.29,88,75,20.71,broken clouds
175,Malanje,AO,-9.5402,16.341,67.15,83,98,4.68,light rain
176,Campagna,IT,40.6653,15.1059,62.08,84,0,1.14,clear sky
177,Gumdag,TM,39.2061,54.5906,50.43,43,57,14.81,broken clouds
178,Ambovombe,MG,-25.1667,46.0833,74.26,83,77,5.46,broken clouds
179,Aswan,EG,24.0934,32.907,78.1,36,0,6.91,clear sky
180,Akyab,MM,20.15,92.9,75.07,73,7,8.08,clear sky
181,Mar Del Plata,AR,-38.0023,-57.5575,78.84,77,0,17.27,clear sky
182,General Roca,AR,-39.0333,-67.5833,74.62,19,2,18.59,clear sky
183,Kerteminde,DK,55.449,10.6577,52.97,87,100,20.47,overcast clouds
184,Inhambane,MZ,-23.865,35.3833,80.58,78,75,11.5,broken clouds
185,Coronel Oviedo,PY,-25.4167,-56.45,69.15,88,100,8.14,overcast clouds
186,Kondoa,TZ,-4.9,35.7833,74.16,50,98,12.19,overcast clouds
187,Camacha,PT,33.0833,-16.3333,69.22,68,40,10.36,scattered clouds
188,Betafo,MG,-19.8333,46.85,64.13,86,100,2.44,light rain
189,Hamilton,US,39.1834,-84.5333,69.44,42,40,9.22,scattered clouds
190,Gudur,IN,14.1333,79.85,77.77,80,100,9.19,overcast clouds
191,Harper,LR,4.375,-7.7169,80.87,74,35,7.16,light rain
192,Lebyazhye,RU,55.2689,66.4947,32.43,99,100,8.55,overcast clouds
193,Namibe,AO,-15.1961,12.1522,69.48,69,4,15.28,clear sky
194,Owando,CG,-0.4819,15.8999,70.39,97,100,2.39,overcast clouds
195,Sakakah,SA,29.9697,40.2064,69.37,32,14,10.38,few clouds
196,Qaqortoq,GL,60.7167,-46.0333,26.13,92,100,2.8,overcast clouds
197,Ostrovnoy,RU,68.0531,39.5131,34.43,87,88,6.02,overcast clouds
198,Port-Gentil,GA,-0.7193,8.7815,75.16,94,40,8.05,scattered clouds
199,Zamora,EC,-4.0692,-78.9567,79.84,76,93,3.22,light rain
200,Camopi,GF,3.1655,-52.3158,77.07,96,100,2.84,overcast clouds
